HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0162,0.0704,0.1262,0.1802,0.2248,0,0.0034993065168973324,0.007090966869814242,0.009204639135739984,0.01065374798966092,0.011571138840546278
0.0328,0.1254,0.2098,0.2728,0.3374,1,0.004937034191819934,0.009179617261563489,0.01128605919474075,0.012345827008799572,0.013105974664892496
0.0448,0.1622,0.2528,0.3284,0.3922,2,0.005733993985626219,0.010218018205659886,0.012046975735477802,0.013017512013468542,0.01353334682224568
0.057,0.191,0.2972,0.3774,0.439,3,0.006426349532977677,0.010895872524951484,0.012668096067334022,0.013436203573807932,0.013755765383285221
0.0676,0.222,0.3306,0.4206,0.4872,4,0.006958979378960691,0.011519598826347397,0.01303963238303914,0.01368342918002621,0.013854750753845907
0.0798,0.2502,0.3614,0.449,0.517,5,0.00751127442630071,0.012005698699667685,0.01331617826303019,0.013787008365849104,0.013851279923530491
