HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.006,0.036,0.092,0.142,0.2,0,0.0067692396027914875,0.016329046904213357,0.025334241555649444,0.030595593721972552,0.03506154588719677
0.004,0.032,0.094,0.144,0.186,1,0.005532618620508743,0.015427080190366486,0.025579914870851303,0.030774371883110756,0.03410670334113216
0.008,0.064,0.128,0.178,0.238,2,0.007808577027858551,0.021453540798665443,0.02928426285908532,0.03352872039311957,0.03732819871357321
0.01,0.06,0.126,0.186,0.224,3,0.00872144942082454,0.02081663949824743,0.02908787920766991,0.03410670334113214,0.03654482941265411
0.02,0.094,0.15,0.19,0.256,4,0.012271541060518861,0.025579914870851313,0.03129869006843581,0.03438669044848603,0.038254058670943544
0.016,0.086,0.146,0.198,0.242,5,0.010998377189385743,0.024574992427262306,0.030951124515920147,0.03492937770988759,0.037541649873174196
