HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.006,0.036,0.092,0.142,0.2,0,0.0067692396027914875,0.016329046904213357,0.025334241555649444,0.030595593721972552,0.03506154588719677
0.006,0.03,0.092,0.14,0.17,1,0.006769239602791484,0.014952629200244295,0.025334241555649444,0.030414754314312523,0.032925666583988794
0.01,0.058,0.12,0.174,0.22,2,0.008721449420824513,0.020488516666659986,0.02848413453134924,0.03323041132456842,0.03631028945078802
0.014,0.09,0.152,0.214,0.242,3,0.010298489831038302,0.02508493731305691,0.03146956858935295,0.03594919989095722,0.03754164987317417
0.028,0.116,0.186,0.256,0.304,4,0.014460496920922147,0.028068951900632015,0.034106703341132145,0.038254058670943544,0.0403192533264196
0.028,0.114,0.188,0.254,0.322,5,0.014460496920922149,0.02785738560597538,0.03424743171684552,0.038155516885504163,0.04095565273805317
