HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0182,0.0804,0.141,0.1946,0.2402,0,0.003705256493577704,0.007537001034151634,0.009646665231052893,0.010973579133027192,0.011841513524342906
0.0188,0.0868,0.1564,0.2122,0.2528,1,0.003764686039924071,0.007803939308016066,0.010068336665646865,0.01133317897375631,0.012046975735477779
0.0438,0.1276,0.1966,0.251,0.2902,2,0.0056726043559548675,0.009248136577538604,0.011016122068168523,0.0120184604538184,0.012580206522438138
0.051,0.1438,0.214,0.27,0.3084,3,0.006098025883841327,0.009726086416395541,0.011368135171610049,0.01230592832743656,0.012801349246887543
0.0602,0.16699999999999998,0.2388,0.293,0.3348,4,0.006593060107962073,0.010338363677100748,0.011817826785800956,0.012615793923492023,0.013080968929983896
0.0642,0.1774,0.2534,0.3142,0.358,5,0.006794071353407797,0.01058868989426007,0.012056419958710526,0.012866869609784505,0.013288626547540296
