HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0102,0.0556,0.1038,0.1488,0.1898,0,0.0027851262066913283,0.006351648469870139,0.008454194122398362,0.00986480130662567,0.01086964330542648
0.0394,0.1574,0.2754,0.3552,0.4258,1,0.005392503942029375,0.010094484850491815,0.012382325091386771,0.013265391205207717,0.013705834767543152
0.0574,0.215,0.3406,0.4296,0.5056,2,0.006447490829524089,0.011387414456320091,0.01313614284502161,0.01372122746509242,0.01385842362914373
0.076,0.2564,0.383,0.4754,0.5444,3,0.0073453729435613855,0.012103187745912087,0.01347451177297342,0.013842508568493521,0.013804541451449458
0.0848,0.2852,0.4174,0.509,0.5732,4,0.007721950281321686,0.012515208859112118,0.013668867437970477,0.013857047523913384,0.013709965610576986
0.0856,0.2904,0.4264,0.5102,0.5834,5,0.007754897469650726,0.012582767693508516,0.013708320148464655,0.013856408769490586,0.013665134618466164
