act,hidden_dim,sparse_normalization,dropout_ratio,pos_uk_num,neg_uk_num,pos_kk_num,neg_kk_num,kernel_method,temperature_tau_u,temperature_tau_k,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,use_default_hp,hp_contrastive_u,weighted_recon,NDCG,RMSE,best_epoch
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.301, 0.0023]","[0.2938, 0]",310.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.0103, 0.0003]","[449.4001, 0]",140.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0001,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.2812, 0.0022]","[0.3216, 0]",240.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0001,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.2862, 0.0023]","[0.3029, 0]",230.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0001,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.2841, 0.0022]","[0.3312, 0]",220.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0001,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.2847, 0.0023]","[0.3118, 0]",140.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0001,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.2829, 0.0022]","[0.317, 0]",110.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0001,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.279, 0.0022]","[0.3311, 0]",120.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.2855, 0.0022]","[0.3258, 0]",200.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.2808, 0.0023]","[0.3108, 0]",290.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.2831, 0.0022]","[0.3351, 0]",210.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.2811, 0.0023]","[0.3104, 0]",120.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.2849, 0.0023]","[0.308, 0]",220.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,0.0,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.2861, 0.0022]","[0.3374, 0]",120.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.2844, 0.0022]","[0.3275, 0]",220.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.2901, 0.0023]","[0.321, 0]",150.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.2861, 0.0022]","[0.3326, 0]",220.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.28, 0.0023]","[0.3041, 0]",130.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.2824, 0.0023]","[0.2983, 0]",210.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.2876, 0.0022]","[0.3258, 0]",270.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.0034, 0.0001]","[2.8786, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.0247, 0.0005]","[1197.8244, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.0057, 0.0002]","[322.9833, 0]",100.0
tanh,150,False,0.2,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.2993, 0.0021]","[0.3066, 0]",190.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.1038, 0.0013]","[0.4866, 0]",90.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.0071, 0.0002]","[722.9617, 0]",120.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.0128, 0.0004]","[2019.8041, 0]",70.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.0061, 0.0002]","[3816.2875, 0]",60.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.0114, 0.0003]","[538.518, 0]",90.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.1,0,False,0.5,1,"[0.2891, 0.0022]","[0.317, 0]",90.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.2884, 0.0023]","[0.3126, 0]",150.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.2889, 0.0021]","[0.3315, 0]",150.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.1,0,False,0.01,1,"[0.2974, 0.0022]","[0.2948, 0]",200.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.1,0,False,1.0,1,"[0.3051, 0.0021]","[0.3325, 0]",160.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.1,0,False,0.1,1,"[0.2851, 0.0022]","[0.3117, 0]",80.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.1,0,False,10.0,1,"[0.2871, 0.0021]","[0.3201, 0]",170.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.1,0,False,0.001,1,"[0.2988, 0.0022]","[0.2953, 0]",140.0
