HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.01,0.036,0.098,0.136,0.182,0,0.008721449420824553,0.016329046904213357,0.02606077794694552,0.030046742465698266,0.03382076408362179
0.02,0.066,0.13,0.192,0.226,1,0.012271541060518854,0.021762885396932146,0.029478295744496476,0.034524497320018985,0.03666027927880516
0.014,0.09,0.164,0.21,0.252,2,0.010298489831038302,0.02508493731305694,0.03245608498879681,0.03570214111226383,0.03805591238165229
0.02,0.106,0.18,0.224,0.27,3,0.012271541060518854,0.026983157057690537,0.03367551514082607,0.03654482941265414,0.038914762237485155
0.018,0.088,0.176,0.244,0.3,4,0.011653679384640733,0.024831892783273697,0.033380359446836434,0.03764669713002714,0.040168047002561734
0.02,0.092,0.164,0.232,0.3,5,0.012271541060518861,0.025334241555649444,0.03245608498879681,0.0369994843639746,0.040168047002561734
