HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0102,0.0556,0.1038,0.1488,0.1898,0,0.0027851262066913287,0.006351648469870139,0.008454194122398362,0.00986480130662567,0.01086964330542648
0.0208,0.1004,0.1716,0.228,0.2688,1,0.003955837463192809,0.008330338496651414,0.010450805280972164,0.011629127788445288,0.012288639183376629
0.0304,0.1146,0.1898,0.2492,0.2956,2,0.0047588735420054104,0.008829439535372425,0.010869643305426495,0.011989669731698464,0.012648323293022092
0.0314,0.121,0.1966,0.2528,0.2966,3,0.004834016467990052,0.009039786882443454,0.011016122068168523,0.012046975735477791,0.012660703101360951
0.0348,0.1262,0.2022,0.2526,0.2996,4,0.005080065919572146,0.00920463913574001,0.011132909041719187,0.012043820911853643,0.012697407052969142
0.0348,0.1264,0.2016,0.2522,0.293,5,0.005080065919572172,0.009210875642022071,0.011120558452739869,0.01203750112486848,0.012615793923491986
