HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.01,0.0506,0.1054,0.1476,0.1942,0,0.0027579644667762946,0.006075344945334139,0.008511494474461851,0.009831866398441,0.010965017105102658
0.0258,0.1024,0.18,0.24100000000000002,0.2892,1,0.004394454627732365,0.00840354382845697,0.010649132922450035,0.011854970522106262,0.012567356156137504
0.032,0.1142,0.1978,0.2616,0.3136,2,0.004878471104762293,0.00881600766533225,0.011041435546667037,0.012182482130535143,0.01286020032242066
0.033,0.1278,0.214,0.2764,0.3262,3,0.00495155122360648,0.009254320524555257,0.011368135171610049,0.012396222638078195,0.012995067834343723
0.0364,0.1344,0.2192,0.2814,0.3308,4,0.005191228634225437,0.009454298876426518,0.011467301902156916,0.012464553390025808,0.013041627326189274
0.0362,0.132,0.2168,0.2748,0.3274,5,0.005177484595747095,0.009382485402067127,0.01142186565159988,0.012373949267198682,0.013007350355733228
