HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0182,0.0804,0.141,0.1946,0.2402,0,0.003705256493577704,0.0075370010341516335,0.009646665231052893,0.010973579133027192,0.011841513524342906
0.0186,0.0874,0.1542,0.213,0.259,1,0.0037449891872741287,0.007828292017854474,0.010010300077180722,0.011348755434848834,0.012143113524957455
0.0434,0.132,0.2146,0.2692,0.3148,2,0.005647823579114529,0.009382485402067129,0.011379714763947734,0.0122944149317974,0.01287351395646162
0.0524,0.1688,0.2558,0.3128,0.3604,3,0.0061765966095256,0.010382694071347849,0.01209389439821627,0.012851269075511556,0.013308150018270617
0.0658,0.189,0.2816,0.3384,0.3856,4,0.006872329080828324,0.010852065300208878,0.012467246784306394,0.013115474114983284,0.013491653700151434
0.0792,0.2212,0.3114,0.3726,0.4206,5,0.0074854224486800265,0.011504734532322437,0.01283553225748011,0.013401849964717539,0.013683429180026229
