HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0162,0.0704,0.1262,0.1802,0.2248,0,0.0034993065168973324,0.007090966869814242,0.009204639135739984,0.01065374798966092,0.011571138840546278
0.0328,0.126,0.21,0.273,0.3352,1,0.004937034191819935,0.009198395060008984,0.011290008325948744,0.01234865331605023,0.013084844912615624
0.0452,0.1642,0.2508,0.3274,0.3922,2,0.005758329228795236,0.01026854306877072,0.012015275122742364,0.013007350355733213,0.01353334682224568
0.057,0.1954,0.2944,0.3746,0.4364,3,0.0064263495329777,0.010990649623603228,0.012633371231970971,0.013416335008816341,0.013746715110629484
0.068,0.2212,0.3298,0.4174,0.4804,4,0.006978040435537766,0.011504734532322428,0.013031625973269564,0.013668867437970465,0.013848640445502023
0.0844,0.2576,0.3698,0.45299999999999996,0.5182,5,0.0077053999276349575,0.01212168461216486,0.013381158717659896,0.013797926696427936,0.013850108363589938
