HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0182,0.0804,0.141,0.1946,0.2402,0,0.003705256493577704,0.007537001034151634,0.009646665231052893,0.010973579133027192,0.011841513524342906
0.0478,0.1588,0.2516,0.32299999999999995,0.3786,1,0.005913561340782451,0.01013085151895948,0.01202799605507117,0.01296184025206333,0.013444572532171493
0.0614,0.2,0.3004,0.3762,0.4332,2,0.006654195092781663,0.01108743432900477,0.012707084963468116,0.013427747004587366,0.01373504902660344
0.0764,0.2342,0.3434,0.419,0.4818,3,0.0073630832463584435,0.011738759244281523,0.01316199294866849,0.013676222156721998,0.013850108363589924
0.0902,0.2648,0.3818,0.4534,0.524,4,0.00794049001933787,0.012230178869796151,0.013466462671511248,0.013798969056447064,0.013843317798852046
0.1108,0.3058,0.4284,0.5048,0.5710000000000001,5,0.00870042918224132,0.012771212006508941,0.013716455862240991,0.013858654260324359,0.013718851951967329
