HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.01,0.0506,0.1054,0.1476,0.1942,0,0.0027579644667762946,0.006075344945334139,0.008511494474461851,0.009831866398441,0.010965017105102658
0.024,0.10099999999999999,0.1778,0.24,0.2916,1,0.004242302167455633,0.00835240610123795,0.010598043157639618,0.011838140394504084,0.012598072556577465
0.0298,0.1224,0.2142,0.2816,0.3396,2,0.004713134530989138,0.009084689436453243,0.011371999048328843,0.0124672467843064,0.013126787120571037
0.0374,0.1364,0.2266,0.301,0.3598,3,0.005259322457959814,0.00951337401413387,0.011603876709996193,0.012714313181607591,0.013303303023956351
0.0364,0.1434,0.2366,0.3114,0.3666,4,0.005191228634225457,0.009714818247440913,0.011780250271568612,0.012835532257480114,0.013356920129311448
0.0388,0.1492,0.2428,0.3138,0.3748,5,0.005352957718794148,0.009875730305916954,0.011885041787523984,0.01286242619178867,0.01341777005568328
