HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0102,0.0556,0.1038,0.1488,0.1898,0,0.0027851262066913287,0.006351648469870139,0.008454194122398362,0.00986480130662567,0.01086964330542648
0.022000000000000002,0.0866,0.1588,0.2088,0.2582,1,0.0040658545374865716,0.007795796948407481,0.01013085151895948,0.011266251856726526,0.012130888267691212
0.0264,0.105,0.1842,0.2418,0.2946,2,0.004443890153097777,0.008497227312482746,0.010745032479950874,0.011868370830202934,0.012635870551283393
0.0262,0.1126,0.1908,0.253,0.3056,3,0.004427479917424675,0.008761933982677049,0.010891512429189924,0.012050127182731844,0.012768873963071765
0.0284,0.115,0.1972,0.2634,0.3126,4,0.004604410040472134,0.00884283710129244,0.011028798609603969,0.01220941376401046,0.01284902931418561
0.0268,0.1176,0.195,0.2584,0.3094,5,0.004476509560271114,0.00892909574351209,0.010982123291968118,0.012133949535942821,0.012812813681810479
