HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.018,0.104,0.178,0.216,0.27,0,0.011653679384640713,0.02675726646726066,0.033528720393119556,0.03607081674706008,0.03891476223748517
0.018,0.124,0.208,0.258,0.3,1,0.011653679384640713,0.02888909684984993,0.03557667262687718,0.03835154592972746,0.04016804700256175
0.046,0.182,0.266,0.302,0.352,2,0.018362177125820327,0.03382076408362179,0.038731107662962797,0.04024410301149734,0.0418629572199576
0.072,0.218,0.322,0.348,0.402,3,0.022657464359455568,0.03619117576426611,0.04095565273805317,0.041752692694004945,0.042976860601956296
0.072,0.23,0.338,0.384,0.43,4,0.022657464359455568,0.03688759574707997,0.04146277968491732,0.04263114895003434,0.04339530297163501
0.1,0.266,0.368,0.406,0.454,5,0.026296159415397504,0.038731107662962797,0.04227207024975237,0.043045455565018535,0.04364106264517375
