HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.018,0.104,0.178,0.216,0.27,0,0.011653679384640713,0.02675726646726066,0.033528720393119556,0.03607081674706008,0.03891476223748517
0.014,0.116,0.194,0.24,0.29,1,0.010298489831038293,0.028068951900632053,0.034660869648639875,0.037435486907478464,0.03977399753607888
0.044,0.17,0.254,0.29,0.35,2,0.017977378140318558,0.03292566658398876,0.03815551688550414,0.03977399753607888,0.041808228855095095
0.06,0.2,0.306,0.342,0.398,3,0.020816639498247462,0.03506154588719677,0.04039350300233934,0.04158120483102903,0.042905290899841284
0.066,0.218,0.322,0.374,0.426,4,0.02176288539693221,0.036191175764266115,0.04095565273805317,0.04241251603949006,0.043344282169624306
0.096,0.244,0.346,0.396,0.444,5,0.02582206089373963,0.037646697130027114,0.041696345508929075,0.04286838588983749,0.043551182358232195
