act,hidden_dim,sparse_normalization,dropout_ratio,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,weighted_recon,NDCG,RMSE,best_epoch
tanh,100,False,0.2,0.01,0.0,800,800,True,5000,100,0.3,0,0.8,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,0.01,1e-05,800,800,True,5000,100,0.5,0,0.8,"[0.015, 0.0003]","[116.291, 0]",130.0
tanh,150,False,0.2,0.01,1e-05,800,800,True,5000,100,0.5,0,1.0,"[0.0083, 0.0002]","[406.2351, 0]",50.0
tanh,100,False,0.2,0.01,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.0139, 0.0004]","[2540.8756, 0]",140.0
tanh,150,False,0.2,0.01,1e-05,800,800,True,5000,100,0.5,0,0.5,"[0.0076, 0.0002]","[34.5556, 0]",100.0
tanh,150,False,0.2,0.01,0.0,800,800,True,5000,100,0.5,0,0.3,"[0.0113, 0.0003]","[963.8179, 0]",190.0
tanh,150,False,0.2,0.01,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.0075, 0.0002]","[3669.6671, 0]",50.0
tanh,150,False,0.2,0.01,0.0,800,800,True,5000,100,0.5,0,0.8,"[0.0339, 0.0006]","[1216.3058, 0]",110.0
tanh,150,False,0.2,0.01,0.0,800,800,True,5000,100,0.5,0,1.0,"[0.0136, 0.0003]","[24.9558, 0]",50.0
tanh,150,False,0.2,0.01,0.0,800,800,True,5000,100,0.5,0,0.2,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,0.01,0.0,800,800,True,5000,100,0.5,0,0.5,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,0.01,0.0001,800,800,True,5000,100,0.5,0,0.3,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,0.01,0.0001,800,800,True,5000,100,0.5,0,0.1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,0.01,0.0001,800,800,True,5000,100,0.5,0,0.8,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,0.01,0.0001,800,800,True,5000,100,0.5,0,1.0,"[0.0144, 0.0003]","[2955.409, 0]",140.0
tanh,150,False,0.2,0.01,0.0001,800,800,True,5000,100,0.5,0,0.2,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0.2,0.01,0.0001,800,800,True,5000,100,0.5,0,0.5,"[0.0387, 0.0006]","[217.4736, 0]",50.0
tanh,150,False,0.4,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.3,"[0.1607, 0.0018]","[0.4814, 0]",160.0
tanh,150,False,0.4,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.1,"[0.1428, 0.0019]","[0.5868, 0]",140.0
tanh,150,False,0.4,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.8,"[0.1835, 0.0017]","[0.3986, 0]",110.0
tanh,150,False,0.4,0.0001,1e-05,800,800,True,5000,100,0.5,0,1.0,"[0.1929, 0.0017]","[0.3637, 0]",150.0
tanh,100,False,0.8,1e-05,0.0,800,800,True,5000,100,0.3,0,1.0,"[0.148, 0.0014]","[0.7736, 0]",130.0
tanh,150,False,0.4,0.0001,1e-05,800,800,True,5000,100,0.5,0,0.5,"[0.175, 0.0017]","[0.4287, 0]",160.0
tanh,150,False,0.4,0.0001,0.0,800,800,True,5000,100,0.5,0,0.3,"[0.1667, 0.0018]","[0.4659, 0]",170.0
tanh,150,False,0.4,0.0001,0.0,800,800,True,5000,100,0.5,0,0.1,"[0.1452, 0.0019]","[0.5704, 0]",230.0
tanh,150,False,0.4,0.0001,0.0,800,800,True,5000,100,0.5,0,0.8,"[0.1857, 0.0017]","[0.3856, 0]",160.0
