HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.006,0.036,0.092,0.142,0.2,0,0.0067692396027914875,0.016329046904213357,0.025334241555649444,0.030595593721972552,0.03506154588719677
0.002,0.04,0.104,0.164,0.206,1,0.003916078038037549,0.01717657940336198,0.026757266467260676,0.0324560849887968,0.03544989315639755
0.008,0.062,0.14,0.186,0.232,2,0.0078085770278585485,0.021138216083671862,0.030414754314312526,0.03410670334113216,0.036999484363974613
0.014,0.09,0.162,0.21,0.264,3,0.01029848983103832,0.02508493731305692,0.03229613752757435,0.03570214111226383,0.0386377599350686
0.012,0.098,0.18,0.238,0.276,4,0.009544213912103998,0.026060777946945547,0.033675515140826034,0.037328198713573214,0.03918274820376944
0.024,0.094,0.188,0.242,0.296,5,0.013415337371829329,0.025579914870851334,0.03424743171684554,0.0375416498731742,0.040013197182929366
