HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.006,0.036,0.092,0.142,0.2,0,0.0067692396027914875,0.016329046904213357,0.025334241555649444,0.030595593721972552,0.03506154588719677
0.014,0.084,0.142,0.198,0.246,1,0.010298489831038302,0.024314114024574146,0.03059559372197256,0.03492937770988757,0.03775063799196001
0.022,0.102,0.18,0.232,0.268,2,0.012857360973388,0.026528294087634165,0.033675515140826034,0.036999484363974613,0.0388234393530508
0.026,0.104,0.19,0.25,0.302,3,0.013948812021100635,0.026757266467260676,0.03438669044848602,0.037955236792832685,0.04024410301149734
0.028,0.106,0.18,0.254,0.306,4,0.014460496920922149,0.026983157057690513,0.033675515140826034,0.03815551688550416,0.040393503002339334
0.028,0.106,0.188,0.256,0.314,5,0.014460496920922154,0.026983157057690516,0.03424743171684552,0.03825405867094354,0.040681593046487295
