HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.006,0.036,0.092,0.142,0.2,0,0.0067692396027914875,0.016329046904213357,0.025334241555649444,0.030595593721972552,0.03506154588719677
0.008,0.03,0.098,0.146,0.184,1,0.00780857702785855,0.014952629200244294,0.026060777946945522,0.030951124515920143,0.03396448705339153
0.012,0.06,0.13,0.2,0.248,2,0.009544213912103954,0.020816639498247448,0.029478295744496476,0.03506154588719676,0.03785348157303364
0.008,0.1,0.162,0.226,0.266,3,0.007808577027858548,0.02629615941539749,0.032296137527574334,0.03666027927880517,0.03873110766296279
0.024,0.114,0.184,0.256,0.308,4,0.013415337371829268,0.027857385605975383,0.03396448705339153,0.038254058670943544,0.04046685699680676
0.034,0.126,0.19,0.266,0.334,5,0.015885434233913774,0.029087879207669913,0.03438669044848604,0.03873110766296278,0.04134104184463652
