HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.013,0.055,0.112,0.1606,0.2092,0,0.0031397952035124477,0.0063192904665002846,0.008741512107181236,0.010177200300907886,0.01127418714565228
0.0288,0.1146,0.2022,0.2678,0.3206,1,0.004635767537226212,0.008829439535372421,0.011132909041719185,0.01227414410422189,0.012936464452267846
0.0308,0.1216,0.2128,0.2776,0.322,2,0.004789091449868163,0.009059078442137524,0.011344867387995715,0.012412797450888871,0.012951314571116276
0.0346,0.126,0.2166,0.2772,0.3222,3,0.005065971775365618,0.009198395060009027,0.01141805364065163,0.012407284881520451,0.012953425136666124
0.0292,0.1224,0.203,0.2684,0.3136,4,0.004666888003284607,0.009084689436453214,0.01114931662121018,0.012282850710678195,0.012860200322420662
0.029,0.1154,0.1934,0.2514,0.2968,5,0.004651357100889908,0.008856200518777635,0.010947839274523643,0.012024820917286337,0.012663170329866455
