HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.013,0.055,0.112,0.1606,0.2092,0,0.0031397952035124477,0.0063192904665002846,0.008741512107181236,0.010177200300907886,0.01127418714565228
0.0304,0.1214,0.2112,0.2756,0.3304,1,0.0047588735420054295,0.009052655885031593,0.011313617120055523,0.012385110811163117,0.013037634777397044
0.0382,0.1364,0.2252,0.2936,0.3434,2,0.005313065096834543,0.009513374014133857,0.011578440502382166,0.012623344660303317,0.013161992948668483
0.0384,0.1384,0.2282,0.2958,0.3412,3,0.005326401605286561,0.009571763497955726,0.01163272004318883,0.012650805082491938,0.013141725019920366
0.0346,0.1338,0.2194,0.288,0.3302,4,0.005065971775365624,0.009436440711369698,0.011471062718196097,0.012551837551529853,0.01303563450803981
0.0338,0.1296,0.213,0.2782,0.3238,5,0.005009137300893074,0.00930964265419496,0.011348755434848838,0.012421043160829853,0.012970211995923199
