HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0182,0.0804,0.141,0.1946,0.2402,0,0.003705256493577704,0.007537001034151634,0.009646665231052893,0.010973579133027192,0.011841513524342906
0.0412,0.1416,0.2322,0.2878,0.3354,1,0.00550913848974572,0.009663791478544959,0.01170378218744744,0.012549240680264877,0.013086778950864771
0.0536,0.1768,0.2632,0.3178,0.3628,2,0.006242963989388209,0.010574622690347502,0.012206434365661678,0.012906362922651935,0.01332731282934365
0.0622,0.196,0.2884,0.3396,0.3804,3,0.006694549787043,0.011003405785482777,0.012557022340538938,0.013126787120571044,0.01345696205645195
0.0802,0.2156,0.2954,0.34700000000000003,0.3834,4,0.007528439348709533,0.011398934022302756,0.012645838586223052,0.013194483586711709,0.013477175495659466
0.0722,0.2108,0.2938,0.3446,0.38299999999999995,5,0.0071740905187490265,0.011305763873139607,0.01262585570087037,0.013172916054875658,0.01347451177297344
