HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.0162,0.0704,0.1262,0.1802,0.2248,0,0.0034993065168973324,0.007090966869814242,0.009204639135739984,0.01065374798966092,0.011571138840546278
0.0222,0.084,0.1476,0.2018,0.2496,1,0.004083876243374907,0.00768879796066964,0.009831866398441014,0.01112467960182251,0.011996091574708207
0.0418,0.1352,0.2054,0.2622,0.309,2,0.005547372041173763,0.009478012027171051,0.011198131656165273,0.012191488639670112,0.012808236337606785
0.0536,0.164,0.248,0.3152,0.3648,3,0.006242963989388164,0.010263515249659714,0.011970321913800333,0.012877929684044514,0.013343007456611641
0.0638,0.1836,0.277,0.3402,0.3938,4,0.00677432030090113,0.010731462335246071,0.012404523961845703,0.01313240837573997,0.013543062762137683
0.0716,0.2138,0.3134,0.3836,0.4326,5,0.007146528767226935,0.011364267276828611,0.012857971677554208,0.013478503739391863,0.013732796752183783
