model,fold,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,RMSE,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,best_epoch
VAEcontrast1,fold0,"[0.5111, 0.0058]","[0.4997, 0.0052]","[0.4904, 0.0048]","[0.5274, 0.007]","[0.4521, 0.0038]","[0.2535, 0.0023]","[0.1067, 0.0013]","[0.1338, 0.0015]","[0.1564, 0.0017]","[0.0723, 0.001]","[0.2535, 0.0023]","[0.486, 0.005]","[0.4714, 0.0044]","[0.4577, 0.0041]","[0.5107, 0.0061]","[0.403, 0.0031]","[0.195, 0.0019]","[0.3983, 0]","[0.0487, 0.0006]","[0.0705, 0.0009]","[0.0908, 0.0011]","[0.0258, 0.0004]","[0.195, 0.0019]",250.0
VAEcontrast1,fold0,"[0.6052, 0.0055]","[0.5885, 0.0049]","[0.5745, 0.0046]","[0.6279, 0.0066]","[0.5166, 0.0037]","[0.2795, 0.0021]","[0.1235, 0.0012]","[0.1536, 0.0014]","[0.178, 0.0016]","[0.0845, 0.001]","[0.2795, 0.0021]","[0.5688, 0.0047]","[0.5457, 0.0043]","[0.5241, 0.004]","[0.6058, 0.0058]","[0.4429, 0.0032]","[0.21, 0.0018]","[0.319, 0]","[0.0558, 0.0006]","[0.0798, 0.0008]","[0.1017, 0.001]","[0.0299, 0.0004]","[0.21, 0.0018]",50.0
