HR@1,HR@5,HR@10,HR@15,HR@20,Steps,HR@1_CI,HR@5_CI,HR@10_CI,HR@15_CI,HR@20_CI
0.006,0.036000000000000004,0.092,0.142,0.2,0,0.006769239602791488,0.016329046904213357,0.025334241555649444,0.03059559372197255,0.03506154588719677
0.006,0.03,0.092,0.14,0.17,1,0.006769239602791484,0.014952629200244297,0.025334241555649444,0.030414754314312526,0.032925666583988794
0.01,0.057999999999999996,0.12,0.174,0.22,2,0.008721449420824513,0.020488516666659986,0.028484134531349237,0.03323041132456842,0.03631028945078802
0.013999999999999999,0.09,0.152,0.214,0.242,3,0.010298489831038302,0.02508493731305691,0.03146956858935295,0.03594919989095722,0.03754164987317417
0.027999999999999997,0.11599999999999999,0.18600000000000003,0.256,0.304,4,0.014460496920922147,0.02806895190063201,0.034106703341132145,0.03825405867094354,0.0403192533264196
0.027999999999999997,0.114,0.188,0.254,0.322,5,0.014460496920922147,0.027857385605975383,0.034247431716845515,0.038155516885504163,0.04095565273805317
